model,paraphrase_level,n,accuracy,consistency
llama2_7b,medium,5414,0.24916882157369782,0.39508681196896933
llama2_7b,original,2000,0.2625,1.0
llama2_7b,strong,4939,0.2308159546466896,0.35594249848147397
mistral_7b,medium,5414,0.43997044698928706,0.8915773919468046
mistral_7b,original,2000,0.474,1.0
mistral_7b,strong,4939,0.41000202470135655,0.8493622190726868
yi_6b,medium,5414,0.6121167343923162,0.8542667159216846
yi_6b,original,2000,0.6455,1.0
yi_6b,strong,4939,0.5729904839036242,0.7934804616319093
