model,paraphrase_level,Stable Correct,Brittle Failure,Unstable but Recoverable,Stable Wrong,Total,Stable Correct %,Brittle Failure %,Unstable but Recoverable %,Stable Wrong %
llama2_7b,light,351,93,47,1201,1692,20.7,5.5,2.8,71.0
llama2_7b,medium,417,101,58,1379,1955,21.3,5.2,3.0,70.5
llama2_7b,strong,377,148,55,1411,1991,18.9,7.4,2.8,70.9
mistral_7b,light,699,90,31,872,1692,41.3,5.3,1.8,51.5
mistral_7b,medium,827,102,31,995,1955,42.3,5.2,1.6,50.9
mistral_7b,strong,782,163,26,1020,1991,39.3,8.2,1.3,51.2
yi_6b,light,987,108,46,551,1692,58.3,6.4,2.7,32.6
yi_6b,medium,1135,129,47,644,1955,58.1,6.6,2.4,32.9
yi_6b,strong,1085,203,53,650,1991,54.5,10.2,2.7,32.6
